Element Symbol,Element Name,Discovery Year,Atomic Number,Atomic Mass (amu),Electron Configuration,Common Isotopes,State at 25°C,Melting Point (°C),Melting Point (°F),Melting Point (K),Boiling Point (°C),Density (g/cm³),Color/Appearance,Conductivity,Hardness/Malleability,Reactivity,Electronegativity,"Ionization Energy (e.g., eV)",Valency,Oxidation States,Atomic Radius (pm),Electronegativity Value,Ionization Energy Value,Metallic Character,Radioactivity,Nuclear Stability,Half-Life,Magnetism Type,Magnetic Susceptibility,Emission/Absorption Spectra,Spectral Lines,Biological Role,Environmental Behavior,Allotropes,symmetry,volume,Compounds
Sn,Tin,Ancient,50,118.71,[Kr] 4d¹⁰5s²5p²,Sn-120;Sn-118,Solid,231.93,449.474,505.08,2602,7.265 (white); 5.769 (gray),White (β); gray (α),High (white),Malleable (white),Moderate,1.96,7.344,"2,4",+4;+2,158,1.96,7.344,Post-transition metal,Low (Sn-126),Stable,Unknown,Diamagnetic,-3.2×10⁻⁵ cm³/mol,Blue-white,286.3 nm,"Solders, bronze",Organotins toxic,"White (β), gray (α)",Fd-3m,70.8975063415447,"['SnI4', 'Ti2Sn', 'Ni3Sn', 'Eu3Sn', 'SnSb', 'SnB', 'SnHg3', 'SnS', 'Ti3Sn', 'SnTe', 'SnCl4', 'KSn', 'Mn3Sn', 'Ga3Sn', 'ScSn', 'V3Sn', 'SiSn', 'SnGe', 'Er3Sn', 'SnB6', 'RbSn', 'SnH4', 'Tl3Sn', 'SnI2', 'SnBi3', 'SnBr4', 'Y3Sn', 'SnS2', 'TlSn', 'ZrSn', 'Al3Sn', 'Ag3Sn', 'SnI3', 'SnBr2', 'CdSn', 'SnCl', 'SnAu5', 'Cu3Sn', 'Sc3Sn', 'Co3Sn', 'SnAu', 'NaSn', 'SnBi', 'SnO', 'Lu3Sn', 'FeSn', 'SnRh3', 'Co2Sn', 'Mg149Sn', 'Tm3Sn', 'SnPb', 'SnAu3', 'SnC', 'Zn3Sn', 'SnP3', 'Re3Sn', 'CoSn', 'Na2Sn', 'SnO2', 'Hf3Sn', 'Tc3Sn', 'SnGe3', 'Zr2Sn', 'Zr5Sn', 'SnSe', 'SnAs3', 'MnSn', 'SnF4', 'LiSn', 'Mg3Sn', 'Mn2Sn', 'Mg7Sn', 'CuSn', 'USn', 'AlSn', 'Na3Sn', 'SnSe2', 'Fe3Sn', 'YSn', 'SnF3', 'SnPt', 'SnIr', 'Zr3Sn', 'Sn', 'In3Sn', 'SnCl2', 'SnIr3', 'CsSn', 'Mg15Sn', 'Mg2Sn', 'SnP', 'SnPb3', 'Ce3Sn', 'Ca3Sn', 'Mg5Sn', 'Tl4Sn', 'Yb2Sn', 'HfSn', 'SnPd3', 'SnF2', 'Fe2Sn', 'SnRh', 'MgSn']"
Sb,Antimony,Ancient,51,121.76,[Kr] 4d¹⁰5s²5p³,Sb-121;Sb-123,Solid,630.63,1167.134,903.78,1587,6.697,Gray metallic,Low,Brittle,Moderate,2.05,8.608,"3,5",+3;+5;-3,145,2.05,8.608,Metalloid,Unknown,Stable,Unknown,Diamagnetic,-9.9×10⁻⁵ cm³/mol,Blue flame,259.8 nm,Flame retardants,Semi-toxic,"Gray, black, yellow",R-3m,62.881010949113254,"['SbPb4', 'LuSb', 'GaSb', 'SbN9', 'SbCl5', 'SnSb', 'CoSb', 'SbBr3', 'PrSb', 'Y3Sb', 'Mg149Sb', 'MgSb', 'Mg3Sb', 'HfSb', 'La2Sb', 'Sb', 'SbIr', 'Cu2Sb', 'Zr2Sb', 'SbAs', 'SbO2', 'ThSb', 'Li3Sb', 'SbN', 'Tl3Sb', 'SbPt', 'Ca2Sb', 'Fe3Sb', 'TlSb', 'Sc2Sb', 'NdSb', 'GeSb', 'FeSb', 'NbSb', 'SbS', 'Eu3Sb', 'Sn3Sb', 'Pa3Sb', 'Ga3Sb', 'Rb3Sb', 'SbO3', 'LaSb', 'Cu3Sb', 'Zn3Sb', 'NiSb', 'VSb', 'DySb', 'SbF4', 'Mg5Sb', 'SbPb3', 'In3Sb', 'Mn2Sb', 'Ho3Sb', 'Mg15Sb', 'ZrSb', 'SbS2', 'In2Sb', 'Pr2Sb', 'SbF5', 'Zr3Sb', 'Ba3Sb', 'Hg3Sb', 'Li2Sb', 'SbPt3', 'SbPd', 'Ti2Sb', 'PuSb', 'Mn3Sb', 'SbTe', 'Nd2Sb', 'Ce2Sb', 'Nb2Sb', 'NpSb', 'RbSb', 'KSb', 'CeSb', 'Ti3Sb', 'SbPd3', 'Mg7Sb', 'Sm2Sb', 'Ba2Sb', 'Ag3Sb', 'SbH3', 'SbAu3', 'BiSb', 'ScSb', 'Ge3Sb', 'InSb', 'YSb', 'AlSb', 'SbF6', 'TiSb', 'Ni3Sb', 'HoSb', 'TmSb', 'SbTe2', 'SbI3', 'ErSb', 'MnSb', 'Sc3Sb', 'BSb', 'Mg2Sb', 'SbRh3', 'CsSb', 'Na3Sb', 'USb', 'Sr2Sb', 'NaSb', 'Bi3Sb', 'K3Sb', 'CrSb']"
Te,Tellurium,1782,52,127.6,[Kr] 4d¹⁰5s²5p⁴,Te-130;Te-128,Solid,449.51,841.118,722.66,988,6.24,Silvery-white,Low (semiconductor),Brittle,Moderate,2.1,9.01,"2,4,6",+6;+4;-2,142,2.1,9.01,Metalloid,Unknown,Stable,Unknown,Diamagnetic,-3.9×10⁻⁵ cm³/mol,Violet,214.3 nm,"Solar cells, alloys",Semi-toxic,"Gray, amorphous",P3_121,108.19281571621227,"['TeIr', 'TeF4', 'Li3Te', 'Ni3Te', 'LuTe', 'YTe', 'SnTe', 'Mg149Te', 'Mg5Te', 'BiTe', 'BaTe', 'TeI2', 'Lu8Te', 'MgTe', 'RbTe', 'CuTe', 'HgTe', 'TeRh', 'TeMo', 'YbTe', 'TeI4', 'NpTe', 'Tl2Te', 'TePd3', 'Ag2Te', 'TeN2', 'ReTe', 'TePd4', 'Co3Te', 'TePb3', 'TeAs', 'ZrTe', 'Ti3Te', 'CaTe', 'VTe', 'TeO', 'Nb3Te', 'TeO3', 'KTe', 'Cu2Te', 'Ge3Te', 'ZnTe', 'Tc3Te', 'FeTe', 'BeTe', 'CdTe', 'CrTe', 'NdTe', 'NiTe', 'SrTe', 'Ba3Te', 'Te', 'PuTe', 'PrTe', 'Sb2Te', 'TeS3', 'MnTe', 'ThTe', 'TePd', 'Fe3Te', 'GaTe', 'Cu3Te', 'Pa3Te', 'GeTe', 'TeO4', 'TeBr6', 'NbTe', 'CeTe', 'TeCl4', 'K2Te', 'GdTe', 'Rb2Te', 'TePt', 'TeSe', 'SbTe', 'SmTe', 'TeI7', 'TiTe', 'Hf2Te', 'TeBr4', 'LaTe', 'Bi2Te', 'Mg3Te', 'Eu3Te', 'ErTe', 'UTe', 'Tb3Te', 'TePb', 'Sn3Te', 'TeI', 'TmTe', 'InTe', 'EuTe', 'ScTe', 'Mn3Te', 'TeO6', 'TeMo6', 'TlTe', 'TeAs2', 'TeBr2', 'Ga3Te', 'Zr3Te', 'TeO2', 'CoTe', 'Sc3Te', 'TeF6', 'Cd3Te', 'TbTe']"
I,Iodine,1811,53,126.904,[Kr] 4d¹⁰5s²5p⁵,I-127,Solid,113.7,236.66,386.85,184.3,4.933,Purple-black crystals,Low,Brittle,High,2.66,10.451,1,-1;+1;+5;+7,133,2.66,10.451,Halogen,Low (I-129),Stable,I-129: 1.57×10⁷ years,Diamagnetic,-4.5×10⁻⁵ cm³/mol,Purple vapor,500–600 nm (broad),Thyroid hormone,Volatile; bioaccumulates,Diatomic (I₂),Cmce,174.11598837963092,"['CuI', 'IrI', 'ThIN', 'PICl6', 'BiIO', 'Mo3I', 'Pr3I', 'VIO7', 'PrIO', 'IO2', 'SmIO', 'IBr2', 'Co5Sb15I', 'Te2I', 'NpIO', 'IBr', 'YIO', 'KI', 'LiIO', 'SmI', 'RbI', 'Rb2IN3', 'NaI', 'Ba2P7I', 'B10H13I', 'Ac3I', 'Co3I', 'Ce3I', 'TmIO', 'Na5IO6', 'HgI', 'BaIF', 'ScIO', 'I', 'B5I', 'Bi2IBr', 'IF3', 'ICl2', 'CIF5', 'HoIO9', 'HI', 'Ca2PI', 'Pm3I', 'Nb3Se12I', 'IN2', 'Sm2IO2', 'LaIO3', 'Ag4SI', 'TePdI', 'Pu3I', 'IO3', 'TbIO9', 'KIO2', 'Ni3I', 'IN3', 'RuI', 'Hf3I', 'VIO4', 'HoIO', 'Cu2IO3', 'SrHI', 'PmI', 'Nb3I', 'InI', 'Tc3Se4I', 'Mg149I', 'C3IN', 'IN', 'PuIO', 'PbIF', 'LaIO', 'SrIF', 'IN4', 'VI', 'LaI', 'IO6', 'KIO3', 'Pd3I', 'Mg16Al12I', 'Ag2IO5', 'Ta3Se12I', 'AuI', 'CaI', 'LuIO', 'UIN', 'Bi5IO7', 'Bi4I', 'Sm3I', 'BaHI', 'CaHI', 'Pu2IO10', 'RhI', 'AgI', 'H4IN', 'Gd3I', 'H5IO6', 'CsI', 'IF7', 'Mn3I', 'TiI', 'Nd3I', 'BiI', 'Sb3IO4', 'NaIO2', 'YIO9', 'NiI', 'Sb4IO6', 'ICl', 'TeI', 'PH4I', 'LiIO5', 'YI', 'Ag3SI', 'CI', 'CdIO9', 'NaIO4', 'Ru3I', 'EuIO', 'Cs3I', 'SmIO9', 'YCI', 'IF5', 'IN5', 'SbTeI', 'HIN2', 'LaCI', 'Zr3I', 'Te7As5I', 'ICl3', 'LiI', 'NdIO', 'TlI', 'Pb2IO2', 'K3IO5']"
Xe,Xenon,1898,54,131.293,[Kr] 4d¹⁰5s²5p⁶,Xe-132;Xe-129,Gas,-111.75,-169.15,161.4,-108.12,0.005844,Colorless gas,Unknown,Unknown,Very low,Unknown,12.13,0,0,108,Unknown,12.13,Noble gas,Low (Xe-135),Stable,Xe-135: 9.1 h,Diamagnetic,-4.3×10⁻⁸ cm³/mol,Blue glow discharge,467.1 nm,Anesthetics,Inert; some compounds,Monatomic,R-3m,85.78650724921306,"['Fe4AgXeF5', 'RuXeF11', 'XeNO3F', 'K4XeO15', 'K2Na2H16XeO14', 'P6Pb3Xe11F58', 'Nd2As6Xe5F46', 'MgAs2(XeF8)2', 'SbXeO2F7', 'OsXeO3F8', 'Xe2NO2F13', 'Hg2Te4Xe3(O2F13)2', 'XeF3', 'CuSb3XeF23', 'AsXe2BrOF12', 'NbXeF11', 'NiSb3XeF23', 'TcXeO4F5', 'Fe4AgP(XeF3)2', 'Sb2XeF13', 'BC10XeF17', 'MnSb3XeF23', 'CdAs2(XeF5)4', 'CuSb2(XeF8)2', 'Cr2XeF10', 'XeNO2F5', 'CrXeF10', 'Te2Xe(OF5)2', 'ZnSb2(XeF4)6', 'P2Pb(XeF6)3', 'Pd(XeF8)2', 'Ca2As4(Xe3F14)3', 'CaP2Xe5F22', 'CoSb3XeF23', 'Ca2As4Xe5F34', 'BiXeF9', 'HXeNO3F2', 'Sb4Xe2F19', 'CuSb2(XeF5)4', 'BaRu2Xe5F22', 'SbXeOF9', 'CuSb2(XeF4)6', 'AsXe2F9', 'RuXeF7', 'PtXeF11', 'LiAs(XeF4)3', 'HXe2F15', 'AuXe2F17', 'OsXe(O2F3)2', 'BaNb2Xe5F22', 'AsXeF7', 'HgAs2Xe5F22', 'Cs2Xe(BrF7)4', 'AgP(XeF5)2', 'Sb5(XeF20)2', 'SbXeF11', 'CsXeF7', 'CdB2XeF10', 'SbIrXeF12', 'Sb2AsAuXeF14', 'MgAs2(XeF5)4', 'SbTe7SXeCl(OF4)9', 'AgAs(XeF5)2', 'Sb4Au(Xe2F11)2', 'Hg2Sb7H2Xe3F59', 'Sb2XeClF11', 'XeO3', 'AuXeF9', 'AsXe(OF2)3', 'AsXeF11', 'CdP2Xe5F22', 'TeAsHXeNF11', 'Ni(XeF8)2', 'CsXe3O3F13', 'TeAsXeO2F11', 'AsXe2OF10', 'HXeF7', 'AsS2XeN2F13', 'Sb3S2XeN(O2F9)2', 'Sb2XeF12', 'CrXeF6', 'Na4XeO14', 'BiXeF7', 'Sb3Au2Xe2F19', 'Fe4AgAs(XeF3)2', 'MgAs2(XeF9)2', 'CaAs2(XeF5)4', 'MgSb3XeF23', 'VXe2F17', 'AsSXeNF10', 'Sb3Au(XeF9)2', 'Na4W8XeO6', 'Sb2XeF16', 'BaSb2Xe5F22', 'Te4Xe(OF5)4', 'SrAs2(XeF6)3', 'Na4XeO12', 'H42C48Xe(ClO2)3', 'BaAs2Xe5F22', 'Re4Xe3(O5F7)2', 'OsXe2O3F14', 'XeIF7', 'GeXeF10', 'Os2Xe(O3F5)2', 'BC6XeF11', 'Sb2XeF15', 'HgP2Xe5F22', 'SbXeF7', 'XeF2', 'HgSb3XeF17', 'Cr4Xe5F44', 'Ni(XeF7)4', 'SbXe2F9', 'AsXeO2F7', 'S2Xe(O3F)2', 'ZnSb3XeF23', 'WXeOF6', 'SbXeF9', 'Te2Xe(O2F5)2', 'HgSb2Xe5F22', 'Sb2XeF14', 'XeF6', 'Bi2XeF12', 'Sb2Au(XeF6)2', 'KXeO3F', 'SXeO3F2', 'S2XeNO4F3', 'SbXe2OF15', 'Xe', 'BaP2(XeF5)4', 'XeF4', 'As2Pb(XeF6)3', 'AgXeF9', 'AsXe2O4F9', 'XeN2(OF4)2', 'Xe(OF)2', 'AsSXe2(OF3)3', 'SrP2(XeF6)3']"
Cs,Cesium,1860,55,132.905,[Xe] 6s¹,Cs-133;Cs-137,Solid,28.44,83.19200000000001,301.59,671,1.93,Silvery-golden,High,Soft,High,0.79,3.894,1,1,265,0.79,3.894,Alkali metal,Low (Cs-137),Cs-137: 30.17 years,Unknown,Paramagnetic,+3.4×10⁻⁵ cm³/mol,Violet,852.1 nm,Atomic clocks,Highly soluble; fallout,Unknown,I4/mmm,983.1042254716456,"['CsGa3', 'CsSO4', 'CsTe7', 'CsO3', 'CsIr', 'CsTe', 'CsCa3', 'CsSeBr3', 'CsPm', 'CsZn8', 'CsPbCl3', 'CsC10', 'CsNa3', 'CsI4', 'CsAsO4', 'CsTlO', 'CsCr5S8', 'CsHg', 'CsBi', 'CsHg2', 'CsAc', 'CsGe', 'CsPr3', 'CsS', 'CsN', 'Cs', 'CsMnSe2', 'CsMnTe2', 'CsGa7', 'CsSnF3', 'CsMg6Ti', 'CsV5Se8', 'CsLi2Br3', 'CsAl', 'CsPa3', 'CsK', 'CsLi3F4', 'CsEu', 'CsGdTe4', 'CsNa2', 'CsHF2', 'CsMg7', 'CsCu4S3', 'CsAg3S2', 'CsBO6', 'CsMg6Nb', 'CsDyBr3', 'CsPSe6', 'CsAu', 'CsLi2I3', 'CsBi4Se7', 'CsSn3', 'CsH', 'CsSi', 'CsLa3', 'CsSnI3', 'Cs(CrS2)2', 'CsC15', 'CsPb2Cl5', 'CsTe4', 'CsCoF4', 'CsRb', 'CsAg3Te2', 'CsCl', 'CsHgCl3', 'CsS3', 'CsPb3', 'CsH3', 'Cs(CO)2', 'CsYb3', 'CsTaN2', 'CsFe4As3', 'CsTi2Cl7', 'CsCr5Se8', 'CsK2Pt', 'CsZn4P3', 'CsZn4As3', 'CsEu3', 'CsAuC2', 'CsNaF3', 'CsCd13', 'CsIn3', 'CsSe4', 'CsNdTe4', 'CsF', 'CsHo', 'CsCrCl3', 'CsV5S8', 'CsY', 'CsSe', 'CsMg15', 'CsC', 'CsP7', 'CsI', 'CsV3O8', 'CsMnAs', 'CsCr5Te8', 'CsNd', 'CsBr3', 'CsRb3', 'CsBr', 'CsO2', 'CsTmBr3', 'CsMg3', 'CsBa3', 'CsN2', 'CsGd', 'CsU2F9', 'CsClO3', 'CsN3', 'Cs(MoO3)3', 'CsNp3', 'CsHo3', 'CsK2', 'CsCu5S3', 'CsI3', 'CsCe', 'CsCd4As3', 'CsTh', 'CsCu4Se3', 'CsAc3', 'CsPO4', 'CsHg5Cl11', 'CsAg3Se2', 'CsK3', 'CsHg3', 'CsMg149', 'CsSn', 'CsIn5S8', 'CsSb', 'CsLa', 'CsBr2F', 'CsTi5Se8', 'CsSr3', 'CsBeH3', 'CsHg2Br5', 'Cs(Bi2Te3)2', 'CsB', 'CsSrCl3', 'CsPuO3', 'CsC8', 'CsBi2', 'CsNd3']"
Ba,Barium,1808,56,137.327,[Xe] 6s²,Ba-138;Ba-137,Solid,727,1340.6,1000.15,1870,3.51,Silvery-white,High,Malleable,Moderate,0.89,5.212,2,2,217,0.89,5.212,Alkaline earth,Low (Ba-133),Stable,Unknown,Paramagnetic,+2.0×10⁻⁵ cm³/mol,Green flame,553.6 nm,Bone scans (Ba-133),Soluble salts,Unknown,Im-3m,129.9981809751681,"['BaO6', 'BaCd11', 'BaPr', 'Rb3Ba', 'BaAu2', 'BaSe', 'BaLa3', 'BaIn4', 'BaTe', 'BaGe6', 'BaN6', 'BaO4', 'BaAl2', 'BaP8', 'BaGe2', 'BaSe2', 'BaMg', 'BaZn', 'BaAl', 'BaTe3', 'BaGa4', 'BaO3', 'BaPm3', 'BaBi5', 'BaPd', 'BaTl2', 'BaN', 'BaSb3', 'BaO2', 'BaO', 'K3Ba', 'BaPt', 'BaDy', 'BaSn2', 'BaHg6', 'BaCa', 'BaPb3', 'BaCd3', 'BaPa3', 'BaMg149', 'BaBi3', 'BaTh', 'BaAl4', 'BaCu13', 'BaC6', 'BaCu', 'BaPt2', 'BaC20', 'BaBr3', 'BaSr3', 'BaSb2', 'BaPm', 'BaSi', 'BaBr2', 'BaAg5', 'BaCl2', 'BaAc3', 'BaPd5', 'BaSn5', 'BaYb3', 'Ba', 'BaSr4', 'BaP10', 'BaC', 'BaEu3', 'BaAg2', 'BaCe', 'BaS3', 'BaCd', 'BaSn3', 'BaMg15', 'BaMn28', 'BaHg11', 'BaNa', 'BaPt5', 'BaAg', 'BaC10', 'BaAs3', 'BaTe2', 'BaCa3', 'BaZn13', 'BaAu', 'BaGe3', 'BaNd', 'BaTb', 'BaSi2', 'BaP3', 'BaS', 'BaHg2', 'BaC2', 'BaAu5', 'BaI2', 'BaS2', 'BaSm3', 'BaGa2', 'BaRh2', 'BaTl4', 'BaSe3', 'BaHg3', 'BaHg', 'BaP2', 'BaPd2', 'BaO5', 'BaBe13', 'BaCe3', 'BaMg3', 'BaN2', 'BaMg2', 'BaTl3', 'BaO10', 'BaFe12', 'BaB6', 'BaNa2', 'BaTh3', 'BaSi23', 'BaH2', 'BaLi4', 'BaF3', 'BaMg7', 'BaRe3', 'BaF2']"
La,Lanthanum,1839,57,138.905,[Xe] 5d¹6s²,La-139;La-138,Solid,920,1688,1193.15,3464,6.162,Silvery-white,High,Malleable,Moderate,1.1,5.577,3,3,187,1.1,5.577,Lanthanide,Low (La-138),Stable,Unknown,Paramagnetic,+1.2×10⁻⁴ cm³/mol,Blue,394.0 nm,"Alloys, catalysts",Low solubility,Unknown,P6_3/mmc,150.28863578550227,"['LaCd2', 'LaAg5', 'LaPd2', 'LaPb2', 'LaAu3', 'LaZn11', 'LaCo', 'LaGe2', 'LaCu5', 'LaN', 'Sr3La', 'LaCu2', 'LaF2', 'LaTh', 'LaIr5', 'LaBr2', 'LaZn13', 'LaY3', 'LaTl', 'LaCo2', 'LaPm3', 'LaTl3', 'Ac3La', 'LaCe3', 'LaNi5', 'LaO2', 'LaCe', 'LaS', 'LaF3', 'LaZn3', 'La', 'LaBr', 'LaV', 'LaAl3', 'NaLa', 'LaY', 'LaH3', 'LaB6', 'LaS2', 'LaO', 'LaAs2', 'LaCo5', 'LaGd3', 'LaBi3', 'LaP3', 'LaU3', 'LaSb', 'AcLa', 'LaF', 'LaTb3', 'LaYb3', 'LaRu2', 'LaCe4', 'LaCl', 'LaCd3', 'LaMg12', 'LaNd3', 'LaCd', 'LaBe13', 'LaNi2', 'LaAs', 'LaEr3', 'Na3La', 'LaIr2', 'LaAs3', 'LaDy', 'LaIn', 'LaO3', 'LaHg2', 'LaZn', 'CaLa', 'LaPu3', 'LaAg', 'LaSi5', 'LaRh2', 'LaNi3', 'LaHg3', 'LaP7', 'LaAg3', 'LaI', 'LaPb3', 'LaH2', 'LaCu4', 'LaSe2', 'LaNp3', 'LaTe2', 'LaCu6', 'LaFe9', 'LaP', 'LaRh3', 'LaMg15', 'LaPr3', 'LaSm3', 'LaSe3', 'LaAl4', 'LaTe', 'LaPt5', 'LaAl2', 'LaTa3', 'LaMg3', 'LaC2', 'LaCu13', 'LaOs2', 'LaBr3', 'LaPd5', 'LaGa6', 'Ba3La', 'LaMg', 'LaSe', 'LaZn5', 'LaH20', 'LaPt3', 'LaN3', 'LaCl3', 'LaGa2', 'LaSi10', 'Li3La', 'LaSn3', 'CsLa', 'LaB4', 'LaHg', 'LaPt2', 'LaCo13', 'LaIr3', 'LaMg2', 'LaBi', 'LaPd3', 'LaC', 'LaCd11', 'LaMg7', 'LaIn3', 'LaI2', 'LaSi2', 'LaP5']"
Ce,Cerium,1803,58,140.116,[Xe] 4f¹5d¹6s²,Ce-140;Ce-142,Solid,799,1470.2,1072.15,3443,6.77,Silvery-white,High,Malleable,Moderate,1.12,5.539,"3,4",+3;+4,181,1.12,5.539,Lanthanide,Low (Ce-144),Stable,Ce-144: 284.9 days,Paramagnetic,+2.5×10⁻⁴ cm³/mol,Red,418.7 nm,Catalytic converters,Low solubility,"α, β, γ",Fm-3m,25.50164500404376,"['CeDy3', 'CeMg3', 'CeEr3', 'CeAg2', 'CeCl3', 'CePt5', 'CeO3', 'Ac3Ce', 'CePu', 'CeS2', 'CeHg2', 'CeZn11', 'CeP3', 'CeLu3', 'CeCd2', 'CeFe5', 'LaCe', 'CePr3', 'La3Ce', 'CeBi', 'CeZn5', 'CeCd', 'CeS3', 'CeCu5', 'CePd2', 'CePb2', 'CeC2', 'CeAl4', 'CeCo5', 'CeIr3', 'CeAg', 'CeBi3', 'Tb3Ce', 'CeTe2', 'CeTl', 'CeMg12', 'CeF3', 'CeTh', 'CeS', 'CeGa6', 'CeSi2', 'CeMg', 'CeSe2', 'CeMg7', 'Ce', 'CeMg15', 'CePu4', 'BaCe', 'CeF4', 'CeSb', 'CeY3', 'CeCo3', 'CeI3', 'CeP5', 'CeP2', 'CeB4', 'Tb2Ce', 'CeH3', 'CeCu6', 'CeGe2', 'CeEr', 'K3Ce', 'CeOs2', 'CeTm3', 'CeY', 'CeIr5', 'CeAu6', 'CeO2', 'CsCe', 'CePd5', 'CeMg5', 'CeBr3', 'CeNi5', 'CeGa2', 'CeMg2', 'CePm3', 'Ba3Ce']"
Pr,Praseodymium,1885,59,140.908,[Xe] 4f³6s²,Pr-141,Solid,931,1707.8,1204.15,3520,6.773,Silvery-yellow,High,Malleable,Moderate,1.13,5.473,3,+3;+4,182,1.13,5.473,Lanthanide,Unknown,Stable,Unknown,Paramagnetic,+3.6×10⁻⁴ cm³/mol,Green,495.1 nm,"Magnets, glass coloring",Low solubility,"α, β",Fm-3m,223.68793247843672,"['PrH', 'BaPr', 'PrRe2', 'PrAl', 'PrN', 'PrCu5', 'PrSb', 'PrAs3', 'PrAs2', 'PrPd', 'PrAl3', 'PrHo3', 'PrB4', 'PrCu6', 'PrI2', 'PrPd3', 'Na3Pr', 'PrAu2', 'PrAu6', 'PrGe3', 'PrBe13', 'PrB12', 'PrW3', 'PrGa3', 'PrHg', 'PrIn', 'PrNi3', 'PrGe', 'PrMg', 'PrCl3', 'PrMg149', 'Pm3Pr', 'PrPb3', 'PrO2', 'PrAu', 'PrNd', 'PrSi', 'PrP5', 'PrEu3', 'PrBi3', 'PrS3', 'PrAl22O34', 'Rb3Pr', 'PrTe3', 'PrCd', 'PrTl', 'PrNd3', 'PrMo3', 'PrRu2', 'Yb3Pr', 'PrTh', 'Pr(WO3)2', 'PrY', 'PrTe', 'PrTe2', 'Tb2Pr', 'PrCo3', 'PrI6', 'PrO3', 'PrTm3', 'PrSi2', 'PrZn3', 'PrDy3', 'PrPd5', 'PrGe2', 'PrCo5', 'PrNi2', 'PrSb2', 'Ba3Pr', 'PrSn2', 'PrY3', 'PrRh', 'PrHo', 'PrAl4', 'PrCd11', 'PrAl2', 'PrMg2', 'PrEr3', 'PrB3', 'PrBi', 'PrZn5', 'PrIn3', 'PrCd2', 'PrCu2', 'PrOs2', 'PrZn11', 'PrSm', 'PrMg12', 'PrGa2', 'PrO', 'PrAg2', 'Ac3Pr', 'PrH3', 'PrMn2', 'PrTl3', 'PrFe2', 'NaPrF4', 'PrF3', 'PrZn', 'PrSe2', 'PrC2', 'PrMg3', 'PrNi5', 'PrAs', 'PrPd2', 'PrGa', 'PrI3', 'PrGa6', 'PrCd3', 'PrIr2', 'PrSe', 'Pr', 'PrS2', 'PrCd6', 'PrPt', 'PrN2', 'PrSb3', 'PrB6', 'PrGe5', 'PrIr3', 'PrPb2', 'PrCo2', 'PrSm3', 'K3Pr', 'PrAg', 'PrPt2', 'PrPt5', 'PrS', 'PrCu', 'PrH2', 'PrP2', 'Li3Pr', 'PrRh2', 'PrZn2', 'PrSn3', 'PrHg3', 'PrP', 'PrBr3', 'Pr(MoO3)2', 'PrNi', 'PrPt3', 'PrLu3', 'PmPr', 'Tb3Pr']"
Nd,Neodymium,1885,60,144.242,[Xe] 4f⁴6s²,Nd-142;Nd-144,Solid,1021,1869.8,1294.15,3074,7.007,Silvery-white,High,Malleable,Moderate,1.14,5.525,3,3,181,1.14,5.525,Lanthanide,Low (Nd-144),Stable,Unknown,Paramagnetic,+4.6×10⁻⁴ cm³/mol,Violet,580.2 nm,"Nd:YAG lasers, magnets",Low solubility,"α, β",P6_3/mmc,141.84503754978965,"['NdHf', 'NdAl3', 'NdB4', 'NdRe2', 'NdPa3', 'K3Nd', 'NdMn2', 'TbNd', 'NdHg', 'NdHg3', 'NdP', 'NdAl4', 'NdZn', 'NdCo', 'NdP5', 'NdAu3', 'NdCu6', 'NdPu3', 'NdNi5', 'Pm3Nd', 'NdC2', 'NdZn3', 'Rb3Nd', 'Pr3Nd', 'NdSc3', 'NdAg', 'NdRu3', 'NdPt5', 'NdSi2', 'NdZn5', 'NdCu5', 'NdIr2', 'Tb3Nd', 'NdH3', 'NdNi2', 'NdGe3', 'NdSb', 'PmNd', 'NdGa6', 'NdZn11', 'NdRh2', 'NdTa3', 'NdFe5', 'NdHo3', 'NdEr3', 'NdSi', 'NdTm', 'PrNd', 'NdMg3', 'NdMg', 'NdOs2', 'NdSn3', 'NdH2', 'NdAu6', 'Nd', 'NdGd2', 'NdZr', 'Sr3Nd', 'NdTc3', 'NdCo2', 'NdDy3', 'NdP3', 'NdTe', 'NdCd11', 'NdMg2', 'NdCo5', 'NdAl', 'NdEu3', 'NdIn', 'NdI2', 'NdTe2', 'NdMg12', 'NdBr3', 'NdP2', 'NdCd', 'La3Nd', 'NdPt2', 'NdO3', 'NdPd2', 'NdGe', 'NdCl2', 'NdY3', 'NdBr2', 'NdMn12', 'Ba3Nd', 'NdBe13', 'NdGa', 'NdTl3', 'Ac3Nd', 'NdMg149', 'Ca3Nd', 'NdCl3', 'NdAs', 'NdCu', 'NdLu3', 'NdSe', 'NdNi3', 'NdHg2', 'NdGd3', 'NdBi', 'NdIr5', 'KNd', 'NdGa2', 'NdSm3', 'Li3Nd', 'NdIr3', 'NdAu', 'NdTh', 'NdPd3', 'NdPt3', 'NdF3', 'NdFe2', 'NdIn3', 'CsNd', 'NdAg2', 'NdAs2', 'BaNd', 'NdTl', 'NdRu2', 'Na3Nd', 'NdGa3', 'Yb3Nd', 'NdGe2', 'NdAs3', 'NdAg3', 'NdB6', 'NdTh3', 'NdPt', 'NdI3', 'NdS', 'NdCd3', 'NdN', 'NdDy', 'NdAl2', 'NdCd2', 'NdRh3', 'NdTm3', 'NdS3', 'NdB12', 'NdO2', 'NdSe2', 'NdS2', 'NdO', 'NdCo3', 'NdPb3']"
